NORAD ID,Name,International Code,launch date ,Period (minutes),Status,Beacon (MHz),Category,magnitude,PRN,Longitude,SV,isFavourite
40926,TIANWANG 1C (TW-1C),2015-051B,,92.8,Active,,Amateur radio,,,,,
40912,KAITUO 1B,2015-049P,,94.8,Active,,Amateur radio,,,,,
40911,XW-2BÊÊCÊ,2015-049N,,95,Active,145.705/145.725,Amateur radio,,,,,
40910,XW-2FÊÊCÊ,2015-049M,,94.9,Active,145.955/145.975,Amateur radio,,,,,
40909,XW-2EÊÊCÊ,2015-049L,,94.9,Active,145.890/145.910,Amateur radio,,,,,
40908,LILACSAT 2ÊÊCÊ,2015-049K,,95.1,Active,437.2,Amateur radio,,,,,
40907,XW-2DÊÊCÊ,2015-049J,,95,Active,145.835/145.855,Amateur radio,,,,,
40906,XW-2CÊÊCÊ,2015-049H,,95,Active,145.770/145.790,Amateur radio,,,,,
40903,XW-2AÊÊCÊ,2015-049E,,93.4,Active,145.640/145.660,Amateur radio,,,,,
40900,NUDT-PHONESAT,2015-049B,,94.6,Inactive,,Amateur radio,,,,,
40719,DEORBITSAIL,2015-032E,,97.5,Inactive,,Amateur radio,,,,,
40655,BRICSAT-P (NO-83)ÊÊCÊ,2015-025E,,92,Inactive,437.975,Amateur radio,,,,,
40654,PARKINSONSAT (PSAT... NO-84)ÊÊCÊ,2015-025D,,93.3,Active,,Amateur radio,,,,,
40380,EXOCUBE,2015-003E,,95.2,Active,437.27,Amateur radio,,,,,
40379,GRIFEX,2015-003D,,95.1,Active,,Amateur radio,,,,,
40378,FIREBIRD 4,2015-003C,,94.9,Active,,Amateur radio,,,,,
40377,FIREBIRD 3,2015-003B,,94.9,Active,,Amateur radio,,,,,
40302,TSUBAME,2014-070E,,94.9,Inactive,437.275,Amateur radio,,,,,
40300,CHUBUSAT-1ÊÊCÊ,2014-070C,,94.6,Inactive,437.485,Amateur radio,,,,,
40299,HODOYOSHI-1,2014-070B,,94.5,Non-amateur,,Amateur radio,,,,,
40074,UKUBE 1ÊÊCÊ,2014-037F,,97,Active,,Amateur radio,,,,,
40074,UKUBE 1,2014-037F,,97,Active,145.84,Amateur radio,,,,,
40074,UKUBE 1ÊÊCÊ,2014-037F,,97,Active,145.915,Amateur radio,,,,,
40071,DX 1ÊÊCÊ,2014-037C,,97.2,Active,438.225,Amateur radio,,,,,
40069,METEOR M2,2014-037A,,101.4,Weather Sat,,Amateur radio,,,,,
40057,VELOX 1,2014-034E,,97.5,Inactive,145.98,Amateur radio,,,,,
40056,NLS 7.2/CANX 5,2014-034D,,97.6,Inactive,437.365,Amateur radio,,,,,
